technology_3,timestep_2,mode,carrier_1,parameter,value,source
pefc,,,,avaConv,0.997076923,
pefc,,,,lifeConv,10,
pefc,,,electricity,ratioConvOutFix,0.555555556,
pefc,,,,effConv,0.9,
pefc,2040,,,costExpConv,475,
pefc,2040,,,costOprConv,23.75,
ccgtH2BackDh,,,,avaConv,0.930302198,
ccgtH2BackDh,,,,lifeConv,25,
ccgtH2BackDh,,,electricity,ratioConvOutFix,0.588839941,
ccgtH2BackDh,,,,effConv,0.853979337,
ccgtH2BackDh,2040,,,costExpConv,586,
ccgtH2BackDh,2040,,,costOprConv,13.71,
ocgtH2Chp,,,,avaConv,0.929862637,
ccgtH2Extract,,,,avaConv,0.930302198,
ocgtH2,,,,avaConv,0.971876923,
ocgtH2Chp,,,,lifeConv,25,
ccgtH2Extract,,,,lifeConv,25,
ocgtH2,,,,lifeConv,25,
ocgtH2Chp,,,electricity,ratioConvOutFix,0.49784792,
ocgtH2Chp,,,,effConv,0.833587896,
ccgtH2Extract,,onlyElec,electricity,ratioConvOutFix,1,
ccgtH2Extract,,onlyElec,,effConv,0.582857143,
ccgtH2Extract,,elecAndHeat,electricity,ratioConvOutFix,0.652605459,
ccgtH2Extract,,elecAndHeat,,effConv,0.652605459,
ocgtH2Chp,2040,,,costExpConv,226.6,
ccgtH2Extract,2040,,,costExpConv,480.7,
ocgtH2,2040,,,costExpConv,177.7698,
ocgtH2Chp,2040,,,costOprConv,7.683,
ccgtH2Extract,2040,,,costOprConv,15.862,
ocgtH2,2040,,,costOprConv,3.1836328,
ocgtH2,,,,effConv,0.415,
