timestep_2,scenario_1,parameter,value
in1,scr1,scrProb,0.53846
in1,scr2,scrProb,0.05128
in1,scr3,scrProb,0.12821
in1,scr4,scrProb,0.28205
in1,scr5,scrProb,0.0
in1,scr6,scrProb,0.0
in1,scr7,scrProb,0.0
in2,scr1,scrProb,0.07692
in2,scr2,scrProb,0.46154
in2,scr3,scrProb,0.30769
in2,scr4,scrProb,0.15385
in2,scr5,scrProb,0.0
in2,scr6,scrProb,0.0
in2,scr7,scrProb,0.0
in3,scr1,scrProb,0.17949
in3,scr2,scrProb,0.15385
in3,scr3,scrProb,0.12821
in3,scr4,scrProb,0.30769
in3,scr5,scrProb,0.05128
in3,scr6,scrProb,0.02564
in3,scr7,scrProb,0.15385
in4,scr1,scrProb,0.71795
in4,scr2,scrProb,0.02564
in4,scr3,scrProb,0.23077
in4,scr4,scrProb,0.02564
in4,scr5,scrProb,0.0
in4,scr6,scrProb,0.0
in4,scr7,scrProb,0.0
